mode,reference_index,model,row,column,angle_deg,scale,position_error_px,edge_rms_px,pairs,model_points,nearest_disagreements
baseline,0,nut,323.5,278.5,-2.7919972534455461e-14,1.0000000000000004,0.0053851648071338281,2.3872826677599041e-14,437,437,0
extra_120_budget,0,nut,323.5,278.5,2.6689786138433821e-15,1,0.0053851648071338281,1.3663928652230231e-14,437,437,0
reference,0,nut,323.495,278.49799999999999,-0.0089999999999999976,1.0000599999999999,0,0.0044788221308960496,437,437,0
reference_refined,0,nut,323.49999999998357,278.49999999999244,-4.5363360678624674e-11,0.99999999999984568,0.005385164789073269,1.5296573877018785e-11,437,437,0
baseline,1,ring,120.50000033226253,298.49999994928788,1.6025530506077096e-08,1.0000000108389406,0.0063246122898821689,1.3964913827272701e-06,605,605,0
extra_120_budget,1,ring,120.50000033226253,298.49999994928788,1.6025536935858627e-08,1.0000000108389409,0.0063246122898821689,1.3964913819171212e-06,605,605,0
reference,1,ring,120.498,298.49400000000003,-0,1.0000800000000001,0,0.0051422194971912109,605,605,0
reference_refined,1,ring,120.50000033225486,298.49999994926776,1.6028344178566235e-08,1.0000000108393154,0.0063246122683654872,1.396491382853028e-06,605,605,0
baseline,2,ring,121.07867855996346,457.04385927115499,16.30232086679932,0.80546364481178956,0.091682586699401186,0.43591370203195762,605,605,0
extra_120_budget,2,ring,121.07867855996348,457.04385927115499,16.302320866799299,0.80546364481178845,0.091682586699415397,0.43591370203195751,605,605,0
reference,2,ring,120.98699999999999,457.04300000000001,16.478000000000002,0.80000000000000004,0,0.4802410170667113,605,605,0
reference_refined,2,ring,121.07867855996346,457.04385927115499,16.30232086679932,0.80546364481178945,0.091682586699401186,0.43591370203195723,605,605,0
baseline,3,nut,324.01227174624177,525.58787364530906,45.554747150634221,0.68704080403715895,0.46073249765125845,0.35919100934596621,347,437,0
extra_120_budget,3,nut,324.01227174624177,525.58787364530906,45.554747150634263,0.68704080403715895,0.46073249765125845,0.35919100934596682,347,437,0
reference,3,nut,323.67899999999997,525.90599999999995,45.718000000000004,0.68454999999999999,0,0.49940234904050024,352,437,0
reference_refined,3,nut,324.01227174624177,525.58787364530906,45.554747150634256,0.68704080403715895,0.46073249765125845,0.3591910093459672,347,437,0
baseline,4,nut,324.29162125038494,109.44474302825139,44.030378284540284,1.2710500972922385,0.57901514993152781,0.37593395539089414,354,437,0
extra_120_budget,4,nut,324.29162125038494,109.44474302825139,44.030378284540227,1.2710500972922394,0.57901514993152781,0.37593395539089364,354,437,0
reference,4,nut,324.262,110.023,43.848999999999997,1.26973,0,0.56073137124089922,357,437,0
reference_refined,4,nut,324.29162125038494,109.44474302825139,44.030378284540227,1.2710500972922394,0.57901514993152781,0.37593395539089364,354,437,0
baseline,5,ring,119.47442757863712,129.76365674069049,18.222001124538721,1.1030662607800783,0.15678699073290722,0.60165900158762931,420,605,0
extra_120_budget,5,ring,119.47442757863712,129.76365674069049,18.222001124538721,1.1030662607800783,0.15678699073290722,0.60165900158762931,420,605,0
reference,5,ring,119.55800000000001,129.631,18.361000000000001,1.1224700000000001,0,0.69778112564672978,353,605,1
reference_refined,5,ring,119.47442757862088,129.76365674065292,18.222001124639181,1.1030662607889126,0.1567869907097745,0.60165900158762986,420,605,0
baseline,6,nut,322.91798334291207,410.47903351529902,9.4941666862660856,0.88360648411793308,0.22557193883564505,0.18754359084578559,303,437,0
extra_120_budget,6,nut,322.91798334291207,410.47903351529902,9.4941666862660856,0.88360648411793308,0.22557193883564505,0.18754359084578559,303,437,0
reference,6,nut,323.04700000000003,410.29399999999998,9.532,0.88426000000000005,0,0.3353446267105582,312,437,0
reference_refined,6,nut,322.91798334291207,410.47903351529902,9.4941666862660856,0.88360648411793308,0.22557193883564505,0.18754359084578559,303,437,0
